ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDqn6hjkG,2017-01-20 15:49:16,3681696,597903,277,79906734,a,Mozilla,Desktop,0
ID8O2vFJz,2017-01-14 06:23:55,6415789,953899,277,17488931,f,Google Chrome,Mobile,1
IDAsPUyCl,2017-01-12 07:39:16,6702995,983780,277,17488931,c,Google Chrome,Mobile,1
IDUCh46u3,2017-01-18 16:16:47,3014921,224260,277,79906734,b,Google Chrome,,1
IDMlk9gLk,2017-01-20 09:34:33,,996467,277,76485796,d,,Mobile,1
IDgtyvvlU,2017-01-14 13:52:29,,285612,277,37236044,a,Firefox,Mobile,0
ID79qNcpZ,2017-01-11 14:38:15,423680,474545,277,62040399,c,Edge,,0
IDlD9FBu3,2017-01-18 11:42:47,6022596,790607,835,33505809,f,Firefox,Mobile,0
IDxt86MLd,2017-01-18 13:48:38,5794830,605003,835,26551485,a,Mozilla Firefox,Desktop,0
IDasOvUmd,2017-01-13 10:36:04,1021808,316130,835,74868704,a,Firefox,Mobile,0
IDLwGVo4d,2017-01-17 16:53:17,7005446,358383,835,2835657,b,Firefox,Mobile,0
IDuMJmkqq,2017-01-16 15:35:23,4095709,31893,835,26551485,d,Mozilla Firefox,,0
IDVzTywSz,2017-01-11 15:00:07,4695950,110095,835,26551485,b,Firefox,Mobile,0
ID4ty6Jno,2017-01-16 06:54:42,8314723,673191,835,51637733,a,Edge,Tablet,0
IDfxQvjKy,2017-01-17 08:10:53,882420,40073,835,26551485,b,Firefox,,0
IDtk2LG9Q,2017-01-12 11:49:26,2421266,859897,835,56008048,e,Edge,Tablet,0
IDqWwGJGW,2017-01-12 09:53:35,1048251,213015,835,33505809,b,Edge,,0
IDzawE1Vf,2017-01-19 17:23:07,7105191,40073,835,26551485,f,,Desktop,0
ID9eA9fPu,2017-01-18 16:40:02,1784378,201469,835,33505809,b,Edge,,0
IDxM81t5V,2017-01-14 16:18:01,6551422,40073,835,26551485,b,Firefox,Mobile,0
IDDcFSmlc,2017-01-13 14:31:06,9303527,981896,835,62201833,b,Firefox,Mobile,0
IDOMOPM3F,2017-01-10 14:42:01,1390504,182853,835,26551485,a,Firefox,Mobile,0
IDsYgWMsd,2017-01-20 17:17:37,2933106,23832,835,26551485,b,Firefox,Mobile,0
IDrvenM4b,2017-01-16 16:14:53,5928508,460625,835,51637733,b,Firefox,Mobile,0
IDD5aXC1E,2017-01-20 13:18:58,1445581,251772,835,27723861,b,Firefox,Mobile,0
IDmkHFi97,2017-01-14 15:51:00,5051948,897905,835,26551485,a,Firefox,Mobile,0
ID2F6TPZ5,2017-01-13 10:20:40,2956850,151674,835,22435216,a,Firefox,Mobile,0
ID8yPtMx9,2017-01-13 13:59:41,2136746,931040,835,13789995,f,Edge,Tablet,0
IDyDDgtZk,2017-01-12 16:53:39,6834071,37907,835,22435216,b,Mozilla Firefox,Desktop,0
IDTXYl4Kt,2017-01-20 14:24:46,65885,40073,835,26551485,c,Safari,,0
IDGmuPGCL,2017-01-16 12:18:05,962624,706802,835,6171136,a,Edge,,0
IDqkOFlOO,2017-01-11 11:45:21,8558468,706746,835,27723861,b,Mozilla Firefox,Desktop,0
IDgbOvdKs,2017-01-10 12:53:43,,46632,835,33505809,e,Internet Explorer,Tablet,0
IDSg6ItCd,2017-01-11 19:43:16,2220516,683766,835,20301556,b,Edge,Tablet,0
ID8iRWfik,2017-01-16 15:40:49,517663,146678,835,51637733,a,Edge,Tablet,0
IDkCAu6OT,2017-01-15 07:57:48,241916,973442,835,81758577,a,Firefox,Mobile,0
IDL1m9OC4,2017-01-19 11:24:56,4834757,482159,835,51637733,a,Edge,,0
IDgBObxgE,2017-01-13 15:29:57,9823682,543569,835,15464873,f,Edge,Tablet,0
IDNDXS3wZ,2017-01-19 17:49:47,6265158,749587,835,48626108,b,Firefox,Mobile,0
IDTwP81cP,2017-01-14 14:29:57,,15657,835,26551485,b,Firefox,Mobile,0
IDVn1lPRi,2017-01-10 13:41:53,8057146,11022,835,51637733,a,Mozilla Firefox,Desktop,0
IDrf7Qcmq,2017-01-19 07:07:39,3099234,597376,835,26551485,a,Edge,Tablet,0
IDc9xgFYN,2017-01-15 18:13:34,320359,374480,835,51637733,b,Edge,,0
IDStQUbDl,2017-01-18 11:35:00,3507469,226074,835,22435216,a,InternetExplorer,Desktop,0
IDmHRobyl,2017-01-14 10:28:19,6825491,220397,835,26551485,b,Edge,Tablet,0
IDEjAFgmO,2017-01-17 08:42:12,2189,68324,835,74868704,b,IE,Mobile,0
IDw8NnleH,2017-01-10 13:55:07,6050477,192718,835,27723861,b,Google Chrome,Mobile,0
ID0IRoP3Y,2017-01-12 13:05:49,2190812,642739,835,15464873,e,Edge,Tablet,0
IDJGteg5F,2017-01-11 11:10:53,7672308,51410,835,58604466,b,Chrome,Desktop,0
IDqwKrUn8,2017-01-10 18:46:15,7472102,739747,835,42819945,b,Mozilla,,0
IDACRIPsV,2017-01-19 15:04:50,361957,735059,835,26551485,f,Edge,Tablet,0
IDk5TMy8e,2017-01-12 13:56:30,2107536,552107,835,22435216,f,Firefox,Mobile,0
IDXYB0pG1,2017-01-10 08:40:06,6038692,871455,835,26551485,b,,Mobile,0
IDoOzj1O3,2017-01-20 12:44:36,9265844,40073,835,26551485,f,IE,,0
ID3oIY0OJ,2017-01-20 11:56:28,5906762,18923,835,33505809,b,Firefox,Mobile,0
IDOOkh1Jm,2017-01-15 17:42:54,9893734,931040,835,13789995,a,Firefox,Mobile,0
IDGYu1TVr,2017-01-17 15:49:51,1592199,424569,835,22435216,b,Firefox,Mobile,0
IDQQn4pYx,2017-01-17 11:03:31,451564,395148,835,83172146,b,Mozilla,,0
IDli1nMni,2017-01-12 18:29:55,9884009,35214,835,51637733,b,Mozilla Firefox,Desktop,0
IDwKUDVgr,2017-01-12 17:21:52,7003673,279989,835,74363610,b,InternetExplorer,Desktop,0
IDHXcOW54,2017-01-10 08:28:08,6357104,661566,835,74868704,b,,Desktop,0
IDDH2bC3W,2017-01-17 09:47:38,119557,484308,835,51637733,e,Firefox,Mobile,0
IDraL5YIU,2017-01-12 11:38:38,2126306,743227,835,33505809,f,Mozilla,Desktop,0
IDe1MRT5e,2017-01-17 11:05:27,4897044,10773,835,51637733,f,Edge,Tablet,0
IDzJsdQzt,2017-01-17 09:54:25,8977002,51410,835,58604466,f,InternetExplorer,Desktop,0
ID6vAPRWw,2017-01-14 15:59:54,132504,5293,835,74868704,a,Mozilla Firefox,Desktop,0
ID0AucvHG,2017-01-19 10:11:24,8223964,467329,835,33505809,d,Edge,Tablet,0
IDxPluFi3,2017-01-17 16:48:07,2807877,421976,835,51637733,a,Edge,Tablet,0
IDqHVBeOX,2017-01-16 17:38:35,2806128,360087,835,47079934,f,Edge,Tablet,0
ID1gDTOwl,2017-01-16 10:48:06,8405904,971677,835,27723861,b,Edge,Tablet,0
ID2KM6vl2,2017-01-11 15:58:56,,586334,835,33505809,b,Edge,Tablet,0
IDFnvR5Od,2017-01-10 08:43:39,4144011,264053,835,15464873,b,Edge,Tablet,0
IDqOWThDe,2017-01-18 12:38:48,,70706,835,33505809,b,Firefox,Mobile,0
IDY5DGsST,2017-01-19 14:13:04,3056499,40073,835,26551485,b,,Mobile,0
IDLFV0Ycj,2017-01-12 14:35:52,5057997,471189,835,26551485,e,Firefox,Mobile,0
IDSQ81tu5,2017-01-15 14:29:08,8192706,116749,835,62201833,a,Edge,Tablet,0
IDKheMAet,2017-01-19 13:18:07,581806,201219,835,74868704,a,Firefox,Mobile,0
IDIGylw2f,2017-01-13 14:29:49,,301038,835,26551485,b,Firefox,Mobile,0
IDNd85KNg,2017-01-14 13:40:26,4474205,108025,835,81758577,b,Mozilla Firefox,Desktop,0
IDe0G6sly,2017-01-12 15:59:07,1325317,359650,835,51637733,b,Firefox,Mobile,0
IDrzy3Mld,2017-01-17 23:43:52,1037794,268656,835,13789995,c,Google Chrome,Mobile,1
IDd0F2b8u,2017-01-18 13:25:18,1530790,664147,835,33505809,a,InternetExplorer,Desktop,0
IDlT5kDTp,2017-01-14 14:52:18,,436580,835,62201833,b,Mozilla Firefox,Desktop,0
IDNRMPVby,2017-01-15 16:43:15,4240766,40073,835,26551485,b,Internet Explorer,Tablet,0
IDgoHEePt,2017-01-16 09:20:23,5755697,761141,835,75936383,a,Google Chrome,Mobile,0
IDEGmLSTT,2017-01-14 21:15:28,1357702,390904,835,26551485,b,Google Chrome,,1
IDww1tnRl,2017-01-12 12:48:34,4523700,531744,835,27723861,f,Edge,Tablet,0
IDzAwThzW,2017-01-13 13:46:43,9710284,668786,835,26551485,a,Firefox,Mobile,0
IDEAfTUBg,2017-01-14 15:38:15,8671811,781208,835,2835657,c,Firefox,Mobile,0
IDiPAcEqU,2017-01-17 12:01:34,9081862,40073,835,26551485,a,Firefox,Mobile,0
IDDWBNbjI,2017-01-20 13:25:33,,411049,835,79906734,b,IE,Mobile,0
IDLq5ffVH,2017-01-15 10:24:34,9409063,87626,835,51637733,e,InternetExplorer,Desktop,0
IDYlrBEDc,2017-01-15 18:29:28,,40073,835,26551485,d,Firefox,Mobile,0
IDth9xCFh,2017-01-12 13:55:37,6099363,754803,835,33505809,b,Firefox,Mobile,0
IDFRxy7OA,2017-01-12 14:17:20,9524814,19564,835,81758577,a,Google Chrome,Mobile,0
ID4edALC2,2017-01-14 10:30:16,949665,288536,835,20301556,a,Firefox,Mobile,0
IDp0VCfUF,2017-01-12 12:47:03,6049397,307833,835,62201833,b,Internet Explorer,Tablet,0
IDZR8rxYR,2017-01-18 13:19:10,8729580,511355,835,2835657,e,Firefox,Mobile,0
IDGszggTF,2017-01-16 14:03:07,9029240,244942,835,74868704,a,Edge,,0
IDbrGlhzx,2017-01-12 14:35:52,5057997,915545,835,26551485,b,Edge,Tablet,0
IDHicAtKo,2017-01-14 10:01:37,3540682,19564,835,81758577,a,Google Chrome,Mobile,0
IDvnyzRWW,2017-01-18 17:03:27,1862922,825887,835,51637733,b,,Desktop,0
IDtTd88OT,2017-01-16 15:52:58,1754902,921255,835,22435216,a,Edge,,0
IDcj9JlKJ,2017-01-11 14:07:46,881376,589948,835,33505809,b,Mozilla Firefox,,0
ID0tX7bYf,2017-01-11 10:19:55,9624432,79516,835,22435216,d,InternetExplorer,Desktop,0
IDyWVvI5V,2017-01-15 18:57:28,5806073,40073,835,26551485,c,Firefox,Mobile,0
IDHyaYRkn,2017-01-19 09:58:09,9825490,406384,835,26551485,d,Firefox,Mobile,0
IDL61vQho,2017-01-14 15:11:26,4107140,401219,835,62201833,b,InternetExplorer,Desktop,0
IDG6wwjyY,2017-01-16 04:42:00,6849364,887800,835,33505809,b,Mozilla,Desktop,0
IDwXDgVPj,2017-01-11 17:41:57,9768403,232371,835,33505809,e,InternetExplorer,Desktop,0
IDmnQdslS,2017-01-14 11:46:08,4210448,272031,835,51637733,c,Firefox,Mobile,0
IDl23JZqo,2017-01-19 06:36:13,,734174,835,33505809,a,Safari,Tablet,0
IDteVK26L,2017-01-11 17:57:40,3836565,602217,835,26551485,c,Edge,Tablet,0
IDsGNAlRu,2017-01-15 09:08:13,5317780,622152,835,33505809,b,Firefox,Mobile,0
IDOd748Q2,2017-01-16 16:31:40,1017659,673667,835,51637733,f,Edge,Tablet,0
ID0bZCBiM,2017-01-20 17:30:16,5691558,188060,835,6171136,a,,Mobile,0
IDK5UJHcx,2017-01-16 11:34:05,2208448,346110,835,26551485,a,Firefox,Mobile,0
IDLY1kDje,2017-01-11 12:39:34,,108966,835,22435216,b,Google Chrome,Mobile,0
ID2ys6em3,2017-01-13 14:09:25,3513871,720037,835,96206255,b,Edge,Tablet,0
IDVgKwpGp,2017-01-18 13:33:41,8753651,40073,835,26551485,b,Edge,Tablet,0
IDnzP9se0,2017-01-13 15:49:24,,804505,835,33505809,c,Firefox,Mobile,0
IDGGNCOds,2017-01-20 08:10:55,685526,671400,835,81758577,d,Google Chrome,Mobile,1
ID7GuKXLo,2017-01-15 06:54:55,9995956,419988,835,26551485,c,Internet Explorer,,0
IDCTvp6sj,2017-01-18 12:30:12,4834352,620942,835,51637733,b,Mozilla,Desktop,0
IDLFHdwNi,2017-01-14 11:21:01,,8260,835,81758577,a,Firefox,Mobile,0
IDIWqFFLW,2017-01-14 09:52:13,2337324,279096,835,26551485,a,Firefox,,0
IDsywWA3l,2017-01-20 10:46:08,3787831,874649,835,62201833,d,Edge,Tablet,0
IDPmiSnVj,2017-01-15 13:46:04,7486053,755663,835,33505809,b,Mozilla Firefox,Desktop,0
IDri8ZIFA,2017-01-11 19:58:03,202765,342174,835,51637733,b,Firefox,Mobile,0
ID2bKIyfJ,2017-01-15 15:52:44,8460007,840806,835,51637733,e,Google Chrome,Mobile,0
IDIfu9jyP,2017-01-17 10:57:16,7231959,802530,835,33505809,b,,Tablet,0
ID30e1r4H,2017-01-12 09:14:31,,300528,835,62201833,a,Firefox,Mobile,0
IDPXPEBMf,2017-01-10 10:18:40,3173965,108258,835,87807327,a,Edge,Tablet,0
IDVe4dSXV,2017-01-17 14:07:44,8460007,182853,835,26551485,a,Mozilla,,0
ID4KrhpmV,2017-01-19 07:45:10,84947,798393,835,51637733,b,Firefox,Mobile,0
IDF7bBn2H,2017-01-19 12:12:06,1689327,40073,835,26551485,c,Firefox,Mobile,0
IDx1VcSjl,2017-01-14 15:46:31,2036658,531744,835,27723861,a,Edge,Tablet,0
IDIiKFCJM,2017-01-20 14:21:07,5171037,181465,835,62201833,b,Edge,Tablet,0
IDyTNwAAa,2017-01-11 19:22:56,4528864,153846,835,33505809,f,Edge,,0
ID0i55U8H,2017-01-16 02:31:36,7949402,40073,835,26551485,b,Edge,Tablet,0
IDLBwJt0l,2017-01-13 15:29:44,,611548,835,33505809,e,Edge,,0
ID72dSQfd,2017-01-15 18:13:34,320359,273273,835,6171136,e,IE,Mobile,0
ID5rRQ84R,2017-01-18 17:08:15,6010661,213995,835,33505809,b,Edge,Tablet,0
IDuIy0MTC,2017-01-15 17:13:30,141740,234295,835,6171136,f,Firefox,Mobile,0
ID1pxCIVr,2017-01-20 17:03:37,6658930,359650,835,51637733,b,Edge,Tablet,0
ID7IhuJMn,2017-01-10 20:33:07,4054785,673073,835,61392274,d,InternetExplorer,Desktop,1
IDtdPXXJp,2017-01-11 16:36:48,4150637,267139,835,26551485,b,Mozilla,Desktop,0
ID3EqncGm,2017-01-13 14:10:41,4714972,711887,835,26551485,a,Mozilla,Desktop,0
IDKWujTSs,2017-01-14 13:38:44,3915502,153846,835,33505809,b,Edge,Tablet,0
IDTTukShI,2017-01-19 08:36:59,2040887,643624,835,15464873,b,Firefox,Mobile,0
IDjbzb8Ev,2017-01-10 10:23:49,1884882,72018,835,62201833,c,Edge,Tablet,0
IDRk9kNOe,2017-01-14 10:03:54,6908096,316130,835,74868704,b,Edge,,0
IDLMvgu5v,2017-01-12 17:00:20,7863572,385903,835,26551485,e,Edge,Tablet,0
IDgkaVk2T,2017-01-14 11:29:35,9585810,168910,835,51637733,a,Edge,Tablet,0
IDIFwjcx9,2017-01-12 08:18:14,9217273,521294,835,33505809,b,Edge,Tablet,0
IDk2WJW4I,2017-01-15 13:30:11,3889157,804505,835,33505809,b,Edge,Tablet,0
IDt8RlHAF,2017-01-17 13:10:44,6926738,901852,835,15464873,a,Edge,Tablet,0
IDfxiQtse,2017-01-10 17:28:18,4305789,484578,835,15464873,b,Edge,Tablet,0
IDzbjVWjn,2017-01-19 16:35:57,1138098,743518,835,26551485,f,Mozilla Firefox,Desktop,0
ID3TGw9gG,2017-01-15 07:55:52,6803469,109461,835,15464873,a,Google Chrome,Mobile,0
IDl4vM59R,2017-01-16 10:25:02,3255083,525513,835,33505809,b,Mozilla Firefox,,0
ID2AyZMLZ,2017-01-17 12:43:12,3831913,245983,835,26551485,e,Mozilla,Desktop,0
ID1i4lAka,2017-01-15 14:06:39,7128705,664147,835,33505809,a,Mozilla,Desktop,0
IDuFbhpwk,2017-01-16 13:15:57,2681270,301038,835,26551485,b,Edge,Tablet,0
ID5fzbFip,2017-01-12 17:58:27,4218005,697632,835,62201833,a,,Desktop,0
IDr9B1rvM,2017-01-18 09:08:05,4567479,556430,835,26551485,a,Firefox,,0
IDXiNGM6l,2017-01-16 13:43:38,2470646,834742,835,33505809,a,Mozilla,Desktop,0
IDU9kU1Qo,2017-01-16 15:18:52,,197050,835,33505809,f,Edge,Tablet,0
IDZMhIsL8,2017-01-16 17:41:36,2806128,942936,835,27723861,b,Edge,Tablet,0
IDvECd5ho,2017-01-15 17:22:16,7536073,40073,835,26551485,e,Edge,Tablet,0
IDh1c9y8w,2017-01-16 09:03:07,3294740,40073,835,26551485,a,Edge,,0
IDsXU7vxX,2017-01-12 14:49:44,8666005,817072,835,62201833,a,Firefox,,0
IDDsABe6T,2017-01-15 17:12:15,5961829,40073,835,26551485,e,Edge,Tablet,0
IDmhREcht,2017-01-16 12:15:43,962624,706802,835,6171136,b,Mozilla Firefox,Desktop,0
IDXCpwE2V,2017-01-11 16:56:30,8809843,390972,835,15464873,f,Mozilla,Desktop,0
IDOIK6dvI,2017-01-14 14:13:26,7483802,987993,835,33505809,b,Edge,Tablet,0
IDTKnhC0z,2017-01-19 07:45:11,7402535,211889,835,33505809,b,,Tablet,0
ID4awJHCJ,2017-01-14 16:11:18,,658556,835,33505809,a,Firefox,,0
IDojtg35s,2017-01-14 12:09:09,7385976,457852,835,51637733,b,Mozilla,Desktop,0
IDTryludY,2017-01-14 16:15:43,132504,238780,835,74868704,b,Firefox,Mobile,0
ID1CpvdxK,2017-01-16 12:47:55,,40073,835,26551485,d,Chrome,,0
IDJTtd4Sz,2017-01-13 10:22:38,,359650,835,51637733,a,InternetExplorer,Desktop,0
IDRsFkEQr,2017-01-20 15:33:30,6298008,40073,835,26551485,a,Firefox,Mobile,0
IDnxVY8sn,2017-01-16 17:25:59,,40073,835,26551485,a,Google Chrome,Mobile,0
ID5tvLIKE,2017-01-17 12:19:29,5754909,188060,835,6171136,b,IE,Mobile,0
ID8kS6Mj3,2017-01-19 10:54:06,7444507,741006,835,13789995,b,Mozilla Firefox,Desktop,0
IDnhEhMWX,2017-01-12 13:13:19,2167767,964366,835,81758577,a,Edge,Tablet,0
IDyMC3Zkr,2017-01-20 09:10:54,6010570,462157,835,15464873,e,Mozilla Firefox,Desktop,0
IDaT22juB,2017-01-13 10:20:40,,108001,835,22435216,f,Firefox,Mobile,0
IDn4HunrG,2017-01-15 09:48:00,6033985,48997,835,62201833,a,Firefox,Mobile,1
IDVzPBrqq,2017-01-20 10:49:25,6831852,300528,835,62201833,b,Edge,Tablet,0
IDJ5qyuYE,2017-01-16 13:18:15,8051724,238780,835,74868704,b,Mozilla Firefox,Desktop,0
IDSJftCjL,2017-01-10 08:28:08,6357104,957435,835,74868704,a,Edge,Tablet,0
IDhsAZcEu,2017-01-20 09:13:57,324797,40073,835,26551485,b,Mozilla,Desktop,0
IDFtImBau,2017-01-18 10:54:58,3182729,531744,835,27723861,a,Firefox,Mobile,0
ID3CTYV9X,2017-01-17 11:22:55,3414656,307833,835,62201833,a,Google Chrome,Mobile,0
IDYKXsy2d,2017-01-17 15:36:03,,597376,835,26551485,b,Firefox,Mobile,0
IDYWY9X3M,2017-01-20 08:16:43,9152401,23764,835,33505809,f,Google Chrome,Mobile,0
ID110e8kg,2017-01-12 11:46:02,1558796,970557,835,51637733,b,InternetExplorer,Desktop,0
IDHLsduF7,2017-01-20 23:05:25,8890553,664007,835,15464873,b,InternetExplorer,Desktop,1
IDa3w4eR2,2017-01-18 15:11:46,5597912,40073,835,26551485,a,Firefox,Mobile,0
IDKtvrukv,2017-01-18 15:37:19,1007017,857906,835,33505809,b,InternetExplorer,Desktop,0
IDxuKiVQY,2017-01-20 13:33:23,6854644,168614,835,51637733,a,Edge,Tablet,0
IDbJ4ekti,2017-01-16 14:57:13,3746226,713476,835,33505809,e,Firefox,Mobile,0
IDvyiFqkx,2017-01-20 09:23:27,1445581,421222,835,2050923,b,IE,,0
IDciyZtB4,2017-01-17 06:06:21,2537004,837568,835,51637733,a,InternetExplorer,,0
IDIGTTN41,2017-01-20 14:48:33,4226996,949644,835,74868704,b,Mozilla,Desktop,0
IDW0UQyps,2017-01-20 12:13:58,4735735,607342,835,51637733,b,Firefox,,0
IDh8GawR5,2017-01-20 11:45:33,5906762,18923,835,33505809,f,Chrome,,0
IDDwry93Q,2017-01-19 09:05:47,2700519,768326,835,26551485,b,Edge,,0
IDcgcjFoZ,2017-01-19 02:02:21,4707475,136654,835,33505809,a,Edge,Tablet,0
IDbguIpoW,2017-01-20 14:26:51,127574,568036,835,51637733,d,Chrome,,0
IDRF7Gk3x,2017-01-15 13:46:55,7661311,798318,835,555603,a,,Tablet,0
IDk25dlZ4,2017-01-20 12:09:04,714373,40073,835,26551485,d,Firefox,Mobile,0
ID7IDOFLf,2017-01-17 09:59:50,5536739,321786,835,33505809,b,IE,Mobile,0
IDCqapYSS,2017-01-11 19:35:35,9567372,712850,835,51637733,e,InternetExplorer,Desktop,1
IDieUZhig,2017-01-20 07:02:34,1995423,645941,835,26551485,f,Chrome,Desktop,0
IDCEbvwsY,2017-01-14 10:13:27,533211,51181,835,26551485,e,Firefox,,0
IDos99EGk,2017-01-15 20:37:04,7907227,999997,835,96206255,a,InternetExplorer,Desktop,0
IDQf8RPYc,2017-01-14 03:56:52,593483,897894,835,33505809,b,,,0
IDy3NuDK4,2017-01-16 17:01:00,4459463,23764,835,33505809,e,Firefox,Mobile,0
IDHzgYShH,2017-01-14 08:23:51,4395942,652639,835,46997962,f,Internet Explorer,Tablet,0
IDEymVumY,2017-01-11 11:03:57,7799748,120330,835,33505809,d,Edge,Tablet,0
IDDJNhN13,2017-01-13 11:49:37,2213060,265698,835,33505809,b,Firefox,Mobile,0
ID988lShl,2017-01-10 16:11:24,972252,420442,835,74868704,b,Firefox,Mobile,0
IDAk93WPV,2017-01-14 14:47:20,9737248,506492,835,74363610,b,Edge,Tablet,0
IDfEMX5Zi,2017-01-19 17:12:42,7725453,945962,835,15464873,b,Edge,Tablet,0
IDLHIMNDw,2017-01-14 16:55:10,795786,477801,835,26551485,e,,Tablet,0
IDzTcBa9p,2017-01-20 17:25:37,,40073,835,26551485,b,Mozilla,Desktop,0
IDgQWq4xO,2017-01-16 07:28:34,5857630,667288,835,26551485,b,Edge,Tablet,0
ID5cfjm6v,2017-01-14 15:07:44,3571010,234589,835,27723861,b,Chrome,Desktop,0
IDC6g3hYu,2017-01-17 13:45:00,972252,909123,835,96142930,a,Firefox,Mobile,0
IDI3p9BCa,2017-01-11 14:08:29,4866826,284006,835,81758577,a,Mozilla Firefox,,0
IDxTUBeVA,2017-01-16 12:19:05,962624,971649,835,51637733,e,Firefox,Mobile,0
ID0CImo9o,2017-01-13 18:52:39,,868465,835,74868704,c,Google Chrome,Mobile,1
IDEW7LAyJ,2017-01-18 11:30:40,1787198,477419,835,33505809,b,Firefox,Mobile,0
ID4jlJMSC,2017-01-12 13:48:37,5596355,763167,835,26551485,f,Mozilla,Desktop,0
IDMet7yWW,2017-01-18 11:10:59,2649115,483441,835,51637733,f,Edge,Tablet,0
IDvYmY55Y,2017-01-17 15:35:49,1592199,231423,835,22435216,a,Google Chrome,,0
ID2gpzMul,2017-01-17 07:50:51,4588006,823912,835,26551485,f,Chrome,Desktop,0
IDzqnTfyg,2017-01-15 06:40:14,5298029,912042,835,15464873,a,Firefox,Mobile,0
IDEm6Crxp,2017-01-17 10:00:09,119557,950782,835,51637733,b,Firefox,Mobile,0
IDRQ9Svzd,2017-01-18 16:38:03,3423300,165306,835,26551485,f,Google Chrome,Mobile,0
IDel5ufrp,2017-01-13 12:47:00,4417285,216092,835,83172146,f,Firefox,Mobile,0
IDTVY1Avb,2017-01-14 13:56:41,8513226,569051,835,33505809,b,,Tablet,0
IDlL6gDEb,2017-01-11 17:50:06,7784948,702662,835,22435216,b,Mozilla Firefox,Desktop,0
IDxb5GpjM,2017-01-14 16:40:15,3571010,190885,835,27723861,a,Mozilla Firefox,Desktop,0
IDUBzgxtM,2017-01-17 10:44:06,8896401,100688,835,51637733,f,Firefox,Mobile,0
IDs9DBXnD,2017-01-14 15:15:29,9674065,710321,835,33505809,a,Edge,Tablet,0
IDt109rpA,2017-01-15 12:32:52,846230,575136,835,26551485,b,Mozilla,Desktop,0
